hour,interactive_serving,etl_pipeline,batch_ml_training,cold_backup
53,120.33202780417447,77.21527092943951,142.73290226197736,63.13902850010436
54,128.47514016670345,78.81706828519309,144.6411202775967,61.211697141269006
55,136.53382436662415,88.2585842974771,151.2694854829476,66.6969515264956
56,146.31486068587492,93.12895561174741,164.48817150430392,72.556526372362
57,156.73929559741705,104.18086219022878,182.54478592309297,77.1115356043164
58,167.72035761897104,117.74707830573175,190.93524666181938,89.38886652177133
59,176.1438026003272,117.71307394001573,200.9124278534266,90.08894717050032
60,187.20380381394966,126.12497356697672,212.8541987736461,95.17352407190984
61,196.99602774689623,132.14665597272167,214.96703181718163,97.12628970636803
62,201.51387863639488,128.97098217272867,230.70037432913264,99.25776635764443
63,198.08420332420752,132.8409967765867,226.00078435144042,99.74014075655721
64,211.35344401971133,135.5734176075593,224.65011676665378,100.16641093559687
65,195.9579630226999,131.78503096215272,224.58129217417982,97.08662395939812
66,201.92788501280407,122.15043136385401,223.71641332926163,96.57492366319848
67,182.53167751720807,120.91458435760404,197.31972544560415,90.61009367429453
68,169.68618212949724,114.81264434244079,188.61373612425723,82.59294668738978
69,160.45759427280498,102.09018631359557,185.38496324348782,80.96922974487356
70,132.42346459888014,93.3273409398325,170.5844106107242,73.74960138559143
71,140.81623900039992,91.04786495093681,148.12471636793666,68.33097655510828
72,108.36199470112645,82.86757325660136,144.5962757930168,61.93037723779923
73,112.58813399009338,77.20286208421048,140.42092505852725,56.85779768084758
74,112.13866894372296,73.23608135340858,131.82941635638122,57.851522878413796
75,100.31843711052747,74.62185871938685,141.0787491361279,54.54730909790879
76,116.41910668275405,68.93708263906274,129.3727735673785,53.47232215468648
77,113.95922140698345,77.64316073539062,146.9354520281537,61.228440347538715
78,121.67107303615704,79.25383447986209,148.89985457479753,59.35943007073034
79,129.30296783379345,88.74767082212426,155.72338175193227,64.67870055833954
80,138.5659986646973,93.64503138620861,169.3312715585955,70.36096456263091
81,148.4383535797194,104.75818230281548,187.91953508912434,74.77813913225147
82,158.83785653029355,118.39957584774763,196.55703997994775,86.683957792498
83,166.8151943110719,118.36538304623036,206.82798385569714,87.36285398804367
84,177.2894558195361,126.82389736554084,219.12136176907072,92.29357149979494
85,186.56308176604998,132.8789490321209,221.29640391697095,94.18724641058246
86,190.84166643876878,129.68567717892304,237.49299038912255,96.25422453956384
87,187.5936273639875,133.57713753797873,232.655028246016,96.72200228037852
88,200.16012662370505,136.32470012789443,231.26459234115262,97.13537351603541
89,185.57999314119954,132.51532007008308,231.19374131489624,94.14878094983841
90,191.23374696108735,122.82733016565825,230.30339744873993,93.652564713923
91,172.86476619361017,121.58463469110241,203.12949987666957,87.86823058913977
92,160.69957061199182,115.44888066612495,194.16717615164322,80.09368261610062
93,151.9597304711269,102.65592090839037,190.84333704227427,78.51909937784286
94,125.41029347782748,93.84451607014022,175.6070050060208,71.51793710422675
95,133.35858499833716,91.55240832425116,152.48601976940776,66.2632799598207
96,113.24620485216481,77.78782258547027,135.18480584774147,59.755827517711936
97,117.66282930589644,72.47035604990026,131.28121998225092,54.86136049531396
98,117.19310548016269,68.74673746669892,123.24891465855538,55.82019320640438
99,104.84009925068045,70.04756720807293,131.89622766294463,52.631999664625134
100,121.66647578299093,64.71126573578202,120.95216962382173,51.59475853631212
101,119.09571587199932,72.88366456150068,137.37172998155032,59.07853760582156
102,127.15516449875862,74.39560461904352,139.2082736644249,57.2751535363051
103,135.13105239236086,83.30747241032759,145.58767169233937,62.407649476982606
104,144.81159666364078,87.90462663754789,158.30985233926356,67.89039321107526
105,155.12892913950972,98.33654563666866,175.68824457405546,72.15246835853239
106,165.99716984280838,111.14172695416585,183.76355229046118,83.64024024125588
107,174.33407090289518,111.10963015835537,193.3659818558241,84.29529848202333
108,185.28043976343764,119.04964077227511,204.85920944635504,89.05288463460593
109,194.97205670494773,124.73352007844585,206.89268263826096,90.88006729343482
110,199.4434904180354,121.73599457332985,222.03506708506512,92.87446800706243
111,196.0490521793796,125.38890989487872,217.51199780525332,93.3258207558018
112,209.18196241571877,127.96804794475294,216.21206247281265,93.72467736479435
113,193.9446572361145,124.39218143325164,216.1458229920511,90.84295246319918
114,199.8532432217882,115.29806161920013,215.31342975077317,90.36415977490351
115,180.65631569515259,114.13154290381328,189.9082244834868,84.78292988931523
116,167.94279713449538,108.37190826307025,181.52923971318322,77.28136816103383
117,158.8090253753339,96.36315206483751,178.42174235749496,75.76207296868704
118,131.06292316721743,88.09188298635081,164.17711138856845,69.00674119282358
119,139.36946876227563,85.94028057207598,142.56102284771143,63.936589839148425
120,103.40499775472827,75.83551237926928,133.02517327854434,59.04761973990048
121,107.43781317947287,70.65150303331426,129.1839487939716,54.211160442564584
122,107.0089088183179,67.0213394193145,121.27996283334357,55.1586293618405
123,95.72939103587863,68.28952107907106,129.78913147540445,52.00822131408335
124,111.09353882180348,63.08714951356308,119.01990923999676,50.9832732501467
125,108.74618048718152,71.05443837339904,135.1771604047796,58.37835686074248
126,116.10525506493293,72.52843192585412,136.9843645511033,56.596345947242206
127,123.38803041980292,81.21663064057906,143.26184908610296,61.66801311697355
128,132.22732582880144,85.6984059971873,155.78078769333186,67.08577705047551
129,141.64807191821546,95.86850584190422,172.88155300374285,71.29733938781132
130,151.57185176575675,108.35230412864571,180.8278543762679,82.648961714332
131,159.18426788623555,108.32101289468237,190.27688120156154,83.2962564053286
132,169.17938647695968,116.06174599647136,201.5864997801621,87.997457103022
133,178.0287923302047,121.60297192565552,203.58748740605867,89.80298455223839
134,182.11165403551166,118.68067798561586,218.48796606750807,91.77374823904975
135,179.01219583375578,122.24191284063915,214.03715466955038,92.21975169316009
136,191.00384319425223,124.7563199677209,212.75798633576898,92.61388117570397
137,177.09067489036119,121.27020016019436,212.69280505780705,89.76630959561066
138,182.4857989157517,112.404323563902,211.87370963903936,89.29319141170892
139,164.95710335919156,111.26708200679107,186.8743629176029,83.7781085544344
140,153.3484021233698,105.65200204208047,178.62923585633163,76.36545303969555
141,145.00836415493416,93.94464028465276,175.57138204198634,74.86416406894602
142,119.67342564394264,85.88096260676636,161.55431487938975,68.18889441763343
143,127.25812421929736,83.78336087297671,140.28355219478362,63.178832945941586
144,102.61384411098892,73.3046420614863,128.33647320911672,55.556955619508464
145,106.61580438668763,68.29363946354626,124.63063926051265,51.006408862141356
146,106.19018158112002,64.78462586292572,117.00524282252147,51.8978671280451
147,94.99696360804167,66.01048429943849,125.21449124181922,48.9336988709068
148,110.24356000121259,60.98173228714686,114.82484868895105,47.9693417240606
149,107.91416135074441,68.68312758002546,130.41260986329843,54.92725694174718
150,115.21693150614529,70.10792931701744,132.15611600421838,53.25059153726662
151,122.44398620549913,78.50617542837462,138.21233984509772,58.022441598400974
152,131.21565199385296,82.83837980082068,150.29002701945709,63.11992853752565
153,140.56431977218708,92.66907132589498,166.78804656737768,67.08251979683172
154,150.41217258760682,104.73624587600116,174.4542669380984,77.76307865054909
155,157.9663459646772,104.70599892924261,183.57024662923035,78.37210781343238
156,167.88499170917183,112.18839934452953,194.4812383306184,82.79539193005974
157,176.66669058656714,117.5446970812573,196.41169772047337,84.494183664727
158,180.71831423776473,114.71992931016726,210.7869834908889,86.34844351748669
159,177.64257005083587,118.16231452197647,206.49304856372453,86.76808099339686
160,189.54246908475525,120.5928079499864,205.25896670874704,87.13891108386423
161,175.73575070145407,117.22303095954241,205.1960828565653,84.4596767879606
162,181.08959652826815,108.65303663811972,204.40585785872767,84.014527498936
163,163.6950133614444,107.55374841989634,180.2876559298111,78.82547474982974
164,152.1751305239711,102.12606138982554,172.33314249355408,71.85102641018283
165,143.89890234781748,90.80941123230417,169.38306797419676,70.43848776616315
166,118.7578019428373,83.01484392035115,155.86005635130488,64.15783392440254
167,126.28446984225903,80.98724577459066,135.3390181287542,59.443947673612534
